num_nodes,time_taken,board_size,height,width
10000,1501.035034,4,1,10000
10000,1206.921997,4,1,10000
10000,1214.381958,4,1,10000
10000,1208.218994,4,1,10000
10000,1208.114014,4,1,10000
10000,1203.81897,4,1,10000
50000,1230.277954,4,1,50000
50000,1222.277954,4,1,50000
50000,1235.511963,4,1,50000
50000,1226.704956,4,1,50000
50000,1235.208984,4,1,50000
50000,1228.897949,4,1,50000
100000,1212.150024,4,1,100000
100000,1222.680054,4,1,100000
100000,1214.574951,4,1,100000
100000,1209.141968,4,1,100000
100000,1217.517944,4,1,100000
100000,1209.862061,4,1,100000
200000,1212.927002,4,1,200000
200000,1208.079956,4,1,200000
200000,1224.373047,4,1,200000
200000,1206.459961,4,1,200000
200000,1217.766968,4,1,200000
200000,1227.05603,4,1,200000
300000,1208.610962,4,1,300000
300000,1215.399048,4,1,300000
300000,1225.732056,4,1,300000
300000,1211.598999,4,1,300000
300000,1212.719971,4,1,300000
300000,1207.812988,4,1,300000
400000,1208.151001,4,1,400000
400000,1209.109009,4,1,400000
400000,1202.733032,4,1,400000
400000,1209.27002,4,1,400000
400000,1213.156982,4,1,400000
400000,1217.972046,4,1,400000
500000,1214.312012,4,1,500000
500000,1224.047974,4,1,500000
500000,1208.338013,4,1,500000
500000,1211.215942,4,1,500000
500000,1212.840942,4,1,500000
500000,1211.327026,4,1,500000
600000,1215.015991,4,1,600000
600000,1212.463013,4,1,600000
600000,1214.162964,4,1,600000
600000,1215.831055,4,1,600000
600000,1218.022949,4,1,600000
600000,1221.712036,4,1,600000
700000,1213.462036,4,1,700000
700000,1216.516968,4,1,700000
700000,1218.613037,4,1,700000
700000,1211.248047,4,1,700000
700000,1219.265015,4,1,700000
700000,1212.70105,4,1,700000
800000,1213.085083,4,1,800000
800000,1221.207031,4,1,800000
800000,1230.005981,4,1,800000
800000,1207.896973,4,1,800000
800000,1210.322998,4,1,800000
800000,1220.311035,4,1,800000
900000,1215.061035,4,1,900000
900000,1226.828979,4,1,900000
900000,1213.972046,4,1,900000
900000,1226.24707,4,1,900000
900000,1212.088013,4,1,900000
900000,1211.31897,4,1,900000
1000000,1218.214966,4,1,1000000
1000000,1217.44397,4,1,1000000
1000000,1224.897949,4,1,1000000
1000000,1220.302979,4,1,1000000
1000000,1218.343018,4,1,1000000
1000000,1226.991943,4,1,1000000
2000000,1250.098999,4,1,2000000
2000000,1241.015015,4,1,2000000
2000000,1258.405029,4,1,2000000
2000000,1238.468018,4,1,2000000
2000000,1244.593018,4,1,2000000
2000000,1237.411987,4,1,2000000
3000000,1284.909058,4,1,3000000
3000000,1284.380005,4,1,3000000
3000000,1256.982056,4,1,3000000
3000000,1278.203003,4,1,3000000
3000000,1278.139038,4,1,3000000
3000000,1258.041992,4,1,3000000
4000000,1285.696045,4,1,4000000
4000000,1275.662964,4,1,4000000
4000000,1280.833984,4,1,4000000
4000000,1269.82605,4,1,4000000
4000000,1282.305054,4,1,4000000
4000000,1269.585083,4,1,4000000
5000000,1296.64502,4,1,5000000
5000000,1286.881958,4,1,5000000
5000000,1286.593018,4,1,5000000
5000000,1287.276978,4,1,5000000
5000000,1288.487061,4,1,5000000
5000000,1298.125977,4,1,5000000
10000,2332.076904,4,2,5000
10000,2323.876953,4,2,5000
10000,2311.387939,4,2,5000
10000,2320.506104,4,2,5000
10000,2309.274902,4,2,5000
10000,2326.657959,4,2,5000
50000,2330.746094,4,2,25000
50000,2344.11792,4,2,25000
50000,2340.990967,4,2,25000
50000,2324.032959,4,2,25000
50000,2329.283936,4,2,25000
50000,2323.85498,4,2,25000
100000,2321.995117,4,2,50000
100000,2293.817139,4,2,50000
100000,2299.701904,4,2,50000
100000,2311.590088,4,2,50000
100000,2313.446045,4,2,50000
100000,2307.583008,4,2,50000
200000,2299.071045,4,2,100000
200000,2298.727051,4,2,100000
200000,2299.579102,4,2,100000
200000,2304.4021,4,2,100000
200000,2297.720947,4,2,100000
200000,2314.053955,4,2,100000
300000,2302.342041,4,2,150000
300000,2297.432129,4,2,150000
300000,2303.467041,4,2,150000
300000,2301.466064,4,2,150000
300000,2296.977051,4,2,150000
300000,2310.460938,4,2,150000
400000,2312.897949,4,2,200000
400000,2296.907959,4,2,200000
400000,2307.793945,4,2,200000
400000,2302.868896,4,2,200000
400000,2313.486084,4,2,200000
400000,2311.458984,4,2,200000
500000,2330.537109,4,2,250000
500000,2331.297119,4,2,250000
500000,2315.626953,4,2,250000
500000,2331.36499,4,2,250000
500000,2313.363037,4,2,250000
500000,2325.464111,4,2,250000
600000,2311.87207,4,2,300000
600000,2331.851074,4,2,300000
600000,2314.423096,4,2,300000
600000,2328.463135,4,2,300000
600000,2323.096924,4,2,300000
600000,2320.407959,4,2,300000
700000,2313.226074,4,2,350000
700000,2313.167969,4,2,350000
700000,2321.832031,4,2,350000
700000,2304.250977,4,2,350000
700000,2306.376953,4,2,350000
700000,2317.762939,4,2,350000
800000,2318.63501,4,2,400000
800000,2312.240967,4,2,400000
800000,2311.383057,4,2,400000
800000,2299.095947,4,2,400000
800000,2313.365967,4,2,400000
800000,2633.26709,4,2,400000
900000,2318.820068,4,2,450000
900000,2320.75,4,2,450000
900000,2309.63501,4,2,450000
900000,2321.410889,4,2,450000
900000,2308.060059,4,2,450000
900000,2304.658936,4,2,450000
1000000,2331.060059,4,2,500000
1000000,2322.589111,4,2,500000
1000000,2307.702881,4,2,500000
1000000,2336.4021,4,2,500000
1000000,2322.547119,4,2,500000
1000000,2320.875,4,2,500000
2000000,178.936996,4,2,1000000
2000000,156.656998,4,2,1000000
2000000,165.699997,4,2,1000000
2000000,165.347,4,2,1000000
2000000,160.417999,4,2,1000000
2000000,147.766998,4,2,1000000
3000000,188.436005,4,2,1500000
3000000,162.382004,4,2,1500000
3000000,169.020004,4,2,1500000
3000000,166.539993,4,2,1500000
3000000,174.136993,4,2,1500000
3000000,164.141998,4,2,1500000
4000000,225.619995,4,2,2000000
4000000,197.199997,4,2,2000000
4000000,210.018005,4,2,2000000
4000000,187.706985,4,2,2000000
4000000,176.145004,4,2,2000000
4000000,190.824005,4,2,2000000
5000000,197.324005,4,2,2500000
5000000,204.016998,4,2,2500000
5000000,208.160995,4,2,2500000
5000000,195.356995,4,2,2500000
5000000,210.940994,4,2,2500000
5000000,238.093994,4,2,2500000
10000,2178.5979,4,100,100
10000,1700.852051,4,100,100
10000,2140.341064,4,100,100
10000,2065.928955,4,100,100
10000,1650.457031,4,100,100
10000,1654.144043,4,100,100
50000,2088.845947,4,100,500
50000,2086.440918,4,100,500
50000,2085.565918,4,100,500
50000,2099.990967,4,100,500
50000,2079.839111,4,100,500
50000,2079.787109,4,100,500
100000,2137.897949,4,100,1000
100000,2062.773926,4,100,1000
100000,2114.310059,4,100,1000
100000,2110.356934,4,100,1000
100000,2086.291992,4,100,1000
100000,2107.197021,4,100,1000
200000,2148.616943,4,100,2000
200000,2091.968018,4,100,2000
200000,2147.586914,4,100,2000
200000,2106.356934,4,100,2000
200000,2085.533936,4,100,2000
200000,2106.929932,4,100,2000
300000,131.917007,4,100,3000
300000,132.106995,4,100,3000
300000,128.417007,4,100,3000
300000,124.486,4,100,3000
300000,137.893997,4,100,3000
300000,127.864998,4,100,3000
400000,128.409988,4,100,4000
400000,130.607986,4,100,4000
400000,136.556,4,100,4000
400000,141.253006,4,100,4000
400000,128.949005,4,100,4000
400000,142.964996,4,100,4000
500000,129.320999,4,100,5000
500000,130.983994,4,100,5000
500000,130.026993,4,100,5000
500000,133.238007,4,100,5000
500000,128.921997,4,100,5000
500000,145.093994,4,100,5000
600000,130.858002,4,100,6000
600000,130.813004,4,100,6000
600000,132.835007,4,100,6000
600000,130.768997,4,100,6000
600000,132.291,4,100,6000
600000,133.016006,4,100,6000
700000,135.656006,4,100,7000
